Question;answer
What is the capital of France ?;Paris.
What is the capital of Morocco ?;Rabat is the capital of Morocco.
What is the capital of Morocco ?;Rabat is the capital of Morocco.
What is the capital of Morocco ?;The capital of Morocco is Rabat.
What is the capital of France ?;Paris.
What is the capital of Morocco ?;Rabat
What is the capital of Morocco ?;The capital of Morocco is Rabat.
What is the capital of Morocco ?;Rabat.
What is the capital of France ?;Paris.
What is the capital of France ?;Paris
What is the capital of Morocco ?;Rabat is the capital of Morocco.
What is the capital of Egypte ?;Cairo.
What is the capital of Egypte ?;Cairo.
What is gluten sensitivity?;Gluten sensitivity is a condition in which individuals experience adverse reactions to gluten, a protein found in wheat and other grains such as barley and rye. Symptoms can include abdominal discomfort, bloating, fatigue, headaches, joint pain and skin problems. Unlike with celiac disease and wheat allergy, a gluten-sensitivity diagnosis is not supported by specific lab tests, and the only way to confirm is through an elimination and challenge diet.
What is maven?;Maven is a software project management and comprehension tool. It describes how software is built and its dependencies on external modules. It provides developers a complete framework for developing a software project, managing all resources necessary for its development and complete deployment. Maven also provides tools for managing a project's build, reporting, and documentation.
